MES;FECHA;LÍNEAS DE TRABAJO - COMPONENTE;VERIFICACIÓN;ACCIONES;NOMBRE INSTITUCION/EMPRESA/EVENTO;PUBLICO OBJETIVO;TIPO EMPRESA/INSTITUCION/EVENTO;DIRECCION;COD_COMUNA;COMUNA;BARRIO;TOTAL PERSONAS SENSIBILIZADAS;TOTAL MUJER;TOTAL HOMBRE;MUJER NIÑO (6 a 13 años);MUJER JOVEN (14 a 28 años);MUJER ADULTO (29 a 59 años);MUJER PERSONA MAYOR (60  años y más);MUJER PEATÓN;MUJER MOTOCICLISTA;MUJER CONDUCTOR;MUJER ACOMPAÑANTE Y/O PASAJERO;HOMBRE_JOVEN_(14_A_28_ANOS);HOMBRE ADULTO (29 A 59 ANOS);HOMBRE_PERSONA_MAYOR_(60_ANOS_Y_MÁS);HOMBRE_PEATON;HOMBRE_CICLISTA;HOMBRE_MOTOCICLISTA;HOMBRE_CONDUCTOR;HOMBRE_ACOMPANANTE_ Y/O_ PASAJERO;No. DE PROFESIONALES VINCULADOS;No. DE AUXILIARES VINCULADOS;No. DE PROFESIONALES CONTRATISTAS;No. DE AUXILIARES CONTRATISTAS;NO. HORAS LABORADAS EN ACTIVIDAD
Noviembre;2019-11-28T05:00:00.000Z;Contacto_Ciudadano_Priorización_de_Publicos_y_Lugares;Contacto_Priorizacion;Punto_Seguro_Peatones;Secretaría de Movilidad;Peatones;Intervención en Vía;Cr 43 A 34 95;10;La_Candelaria;Perpetuo Socorro;155;103;52;0;11;78;14;103;103;0;0;0;8;37;7;44;0;0;8;0;0;0;1;6
Noviembre;2019-11-28T05:00:00.000Z;Experiencias_Ciudadanas_Empresas;Experiencias_Empresas;Taller_Formativo_Empresas_de_Transporte_Publico_Individual_CON_PESV;Secretaria de Movilidad soy un taxista comprometido acopio punto clave;Conductores;Intervención en Vía;Cl 27 46 70;14;Poblado;Barrio Colombía;131;22;109;1;5;13;3;21;21;0;1;0;2;105;0;6;0;0;103;0;0;0;1;0
Noviembre;2019-11-28T05:00:00.000Z;Experiencias_Ciudadanas_Instituciones_Educativas;Experiencias_IES;Otros_Instituciones_Educativas;Institución Educativa Lola Gonzalez - Caravana Navideña;Peatones;Instituciones Educativas Oficiales;Cl 47 F 94 63;12;La_America;Santa Lucía;74;51;23;7;14;28;2;51;51;0;0;0;8;5;6;23;0;0;0;0;0;0;1;4
Noviembre;2019-11-28T05:00:00.000Z;Contacto_Ciudadano_Priorización_de_Publicos_y_Lugares;Contacto_Priorizacion;Punto_Seguro_Vehiculos;Secretaria de seguridad y Convivencia;Motociclistas;Intervención en Vía;Cr 55 94 1;4;Aranjuez;Palermo;140;31;109;0;0;31;0;0;0;15;0;16;25;80;4;0;0;104;0;5;0;0;1;2
Noviembre;2019-11-29T05:00:00.000Z;Incidencia_y_Gestion_Ejecucion_de_Experiencias;Incidencia;Otros_Incidencia_y_Gestion;Secretaría de Movilidad y Secretaría de inclusión social, Familia y Derechos Humanos, Club de vida.;Peatones;Actividades Comunitarias;Cl 98 A 65 160;5;Castilla;Castilla;65;47;18;0;0;0;47;47;47;0;0;0;0;0;18;18;0;0;0;0;0;0;2;2
Noviembre;2019-11-29T05:00:00.000Z;Experiencias_Ciudadanas_Empresas;Experiencias_Empresas;Taller_Formativo_Empresas_Comerciales_SIN_PESV;Taller Formativo Asociados Estaciones de Servicio;Actores Viales en General;Empresas Comercial y/o Servicios;Cl 34 65 139;11;Laureles_Estadio;Los Conquistadores;15;4;11;0;3;1;0;1;1;2;1;0;6;4;1;2;1;7;1;0;1;0;1;0
Noviembre;2019-11-29T05:00:00.000Z;Incidencia_y_Gestion_Ejecucion_de_Experiencias;Incidencia;Otros_Incidencia_y_Gestion;Activación TPM & Secretaría Inclusión Social.;Actores Viales en General;Espacios Sociales;Cr 110 34 CC 58;13;San_Javier;Las Independencias;52;27;25;19;5;3;0;27;27;0;0;0;4;3;0;25;0;0;0;0;0;0;1;3
Noviembre;2019-11-29T05:00:00.000Z;Experiencias_Ciudadanas_Empresas;Experiencias_Empresas;Taller_Formativo_Empresas_de_Transporte_Publico_Individual_CON_PESV;Secretaria de Movilidad soy un taxista comprometido acopio san diego;Conductores;Intervención en Vía;Cl 34 43 66;10;La_Candelaria;San Diego;186;21;165;0;1;17;3;19;19;0;2;0;4;161;0;12;0;0;153;0;0;0;1;0
Noviembre;2019-11-29T05:00:00.000Z;Contacto_Ciudadano_Priorización_de_Publicos_y_Lugares;Contacto_Priorizacion;Rumba_Segura;Secretaria de Movilidad rumba segura parque lleras y alrededores;Actores Viales en General;Intervención en Vía;Cl 9 36 1;14;Poblado;La Florida;200;78;122;0;22;55;1;76;76;0;0;2;37;83;2;122;0;0;0;0;0;0;1;6
Noviembre;2019-11-29T05:00:00.000Z;Contacto_Ciudadano_Priorización_de_Publicos_y_Lugares;Contacto_Priorizacion;Punto_Seguro_Peatones;Secretaria de Movilidad;Peatones;Intervención en Vía;Cl 44 52 1;10;La_Candelaria;La Candelaria;157;75;82;1;36;35;3;43;43;0;32;0;43;29;10;47;0;0;35;0;0;0;2;5
Noviembre;2019-11-29T05:00:00.000Z;Experiencias_Ciudadanas_Empresas;Experiencias_Empresas;Taller_Formativo_Empresas_Comerciales_CON_PESV;Estilo Ingenieria S. A.;Personal Administrativo ó Gerencial;Empresas Comercial y/o Servicios;Cr 43 A 16 SUR 1;14;Poblado;El Castillo;110;4;106;0;0;4;0;0;0;0;4;0;28;78;0;0;0;106;0;0;0;0;1;4
Noviembre;2019-11-29T05:00:00.000Z;Laboratorios_de_Movilidad_Metodologias_de_Intervencion_Pedagogicas;Laboratorios;Experimentos_Sociales;Cabina de la Memoria;Personal Administrativo;Instituciones de Educación Superior Pùblicas;Cl 44 52 165;10;La_Candelaria;Guayaquil;104;61;43;2;6;51;2;61;61;0;0;0;7;34;2;43;0;0;0;0;0;0;2;1
Noviembre;2019-11-29T05:00:00.000Z;Contacto_Ciudadano_Priorización_de_Publicos_y_Lugares;Contacto_Priorizacion;Intervenciones_en_10_Sitios_de_Mayor_Incidentalidad;Secretaría de Movilidad;Peatones;Sitio Mayor Incidentalidad;Cr 46 47 1;10;La_Candelaria;La Candelaria;407;198;209;4;74;84;36;198;198;0;0;0;76;84;47;209;0;0;0;0;0;0;1;6
Noviembre;2019-11-30T05:00:00.000Z;Incidencia_y_Gestion_Ejecucion_de_Experiencias;Incidencia;Otros_Incidencia_y_Gestion;Activación La Alhambra;Actores Viales en General;Espacios Sociales;Cr 52 A 45 1;10;La_Candelaria;Guayaquil;57;41;16;35;6;0;0;41;41;0;0;0;2;0;0;16;0;0;0;0;0;0;1;5
Noviembre;2019-11-30T05:00:00.000Z;Laboratorios_de_Movilidad_Metodologias_de_Intervencion_Pedagogicas;Laboratorios;Experimentos_Sociales;Cabina de la Memoria;Personal Administrativo;Instituciones de Educación Superior Pùblicas;Cl 44 52 165;10;La_Candelaria;Guayaquil;150;82;68;3;20;48;11;82;82;0;0;0;10;51;7;68;0;0;0;0;0;0;2;3
Diciembre;2019-12-01T05:00:00.000Z;Incidencia_y_Gestion_Ejecucion_de_Experiencias;Incidencia;Cicladas;Ciclada por Medellin en bicicleta;Ciclistas;Intervención en Vía;Cr 70  47 D 15;11;Laureles_Estadio;Estadio;608;148;460;0;55;93;0;0;0;0;0;0;80;370;7;0;460;0;0;0;0;0;1;6
Julio;2019-07-23T05:00:00.000Z;Experiencias_Ciudadanas_Instituciones_Educativas;Experiencias_IES;Otros_Instituciones_Educativas;Institución educativa  Alfonso Lopez Pumarejo;Estudiantes;Instituciones Educativas Oficiales;Cr 37 57 90;8;Villa_Hermosa;Enciso;540;245;295;238;4;3;0;245;245;0;0;0;10;7;0;295;0;0;0;0;0;0;1;3
Julio;2019-07-23T05:00:00.000Z;Experiencias_Ciudadanas_Empresas;Experiencias_Empresas;Taller_Formativo_Empresas_Moto_Como_Herramienta_de_Trabajo_CON_PESV;Taller formativo Pizzas Piccolo;Motociclistas;Empresas de Mensajería;CL 9 43 B 43;14;Poblado;Astorga;33;1;32;0;0;1;0;0;0;0;1;0;9;22;1;0;0;30;2;0;0;0;1;0
Julio;2019-07-23T05:00:00.000Z;Incidencia_y_Gestion_Ejecucion_de_Experiencias;Incidencia;Otros_Incidencia_y_Gestion;Reunión Inicial Agencia de Aduanas Lacoste;Personal Administrativo;Empresas Comercial y/o Servicios;Cl 27 43 F 75;14;Poblado;Barrio Colombía;2;2;0;0;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Julio;2019-07-23T05:00:00.000Z;Experiencias_Ciudadanas_Aula_Movil_Parque_Explora;Experiencias_Aula;Sensibilizacion_Aula_Movil_Empresas_con_PESV;Fundación Trabajadores Empresas Varias de Medellín EMVARIAS;Empleados;Empresas Privadas;Cl 111 B 92 1;5;Castilla;Belalcázar;100;3;97;0;2;1;0;3;3;0;0;0;15;79;3;46;0;6;43;2;0;0;6;1
Julio;2019-07-23T05:00:00.000Z;Experiencias_Ciudadanas_Encarrete_Parque_Explora;Experiencias_Encarrete;Sensibilizacion_Encarrete_Instituciones_Educativas;Institución Educativa Julio Cesar Garcia;Estudiantes;Instituciones Educativas Oficiales;Cl 111 A 65 26;5;Castilla;Boyacá;272;134;138;0;134;0;0;134;134;0;0;0;0;0;0;138;0;0;0;0;0;0;5;0
Julio;2019-07-24T05:00:00.000Z;Experiencias_Ciudadanas_Instituciones_Educativas;Experiencias_IES;Talleres_Formativos_Movileta_Docentes;Institución Educativa El Salvador;Docentes y/o Instructores;Instituciones Educativas Oficiales;Cl 39 38 21;9;Buenos_Aires;El Salvador;27;20;7;0;5;15;0;0;0;3;3;14;2;5;0;0;0;2;2;3;0;1;0;0
Julio;2019-07-24T05:00:00.000Z;Contacto_Ciudadano_Priorización_de_Publicos_y_Lugares;Contacto_Priorizacion;Buen_Parqueo;Secretaría de Movilidad;Conductores;Sitio Buen Parqueo;Cr 89 38 24;12;La_America;Santa Mónica;99;42;57;0;22;20;0;27;27;0;15;0;28;28;1;32;1;7;17;0;0;0;1;4
Julio;2019-07-24T05:00:00.000Z;Curso_de_Amonestados;Curso;Taller_Formativo_Curso_de_Amonestados;Secretaria de Movilidad;Infractores;Secretaría de Movilidad;Cr 64 C 72 58;5;Castilla;Caribe;57;4;53;0;1;3;0;0;0;2;2;0;2;43;8;0;0;22;31;0;1;0;0;0
Julio;2019-07-24T05:00:00.000Z;Curso_de_Amonestados;Curso;Taller_Formativo_Curso_de_Amonestados;Secretaria de Movilidad;Infractores;Secretaría de Movilidad;Cr 64 C 72 58;5;Castilla;Caribe;54;12;42;0;5;7;0;0;0;5;7;0;7;32;3;0;0;18;24;0;1;0;0;0
Julio;2019-07-24T05:00:00.000Z;Curso_de_Amonestados;Curso;Taller_Formativo_Curso_de_Amonestados;Secretaria de Movilidad;Infractores;Secretaría de Movilidad;Cr 64 C 72 58;5;Castilla;Caribe;60;5;55;0;3;2;0;0;0;3;2;0;20;32;3;0;0;21;34;0;1;0;0;0
Julio;2019-07-24T05:00:00.000Z;Contacto_Ciudadano_Priorización_de_Publicos_y_Lugares;Contacto_Priorizacion;Punto_Seguro_Peatones;Secretaría de Movilidad;Peatones;Intervención en Vía;Cl 50 73 134;11;Laureles_Estadio;Estadio;271;136;135;2;21;95;18;134;134;0;1;1;14;112;7;133;0;1;1;0;0;0;1;5
Julio;2019-07-24T05:00:00.000Z;Experiencias_Ciudadanas_Instituciones_Educativas;Experiencias_IES;Otros_Instituciones_Educativas;Encarrete - Secretaría de Movilidad;Peatones;Instituciones Educativas No Oficiales;Cr 21 47 86;9;Buenos_Aires;Miraflores;95;19;76;19;0;0;0;19;19;0;0;0;76;0;0;76;0;0;0;0;0;0;1;6
Julio;2019-07-24T05:00:00.000Z;Contacto_Ciudadano_Priorización_de_Publicos_y_Lugares;Contacto_Priorizacion;Socializacion_Proyectos_Movilidad_Conglomerado_Publico_Externo;Secretaría de Movilidad - Institución Educativa Héctor Abad Gómez;Docentes y/o Instructores;Instituciones Educativas Oficiales;Cl 50 39 65;10;La_Candelaria;Boston;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;1;0
Julio;2019-07-24T05:00:00.000Z;Experiencias_Ciudadanas_Instituciones_Educativas;Experiencias_IES;Otros_Instituciones_Educativas;Secretaría de Movilidad;Estudiantes;Instituciones Educativas Oficiales;Cr 67 93 75;5;Castilla;Castilla;199;94;105;87;0;7;0;94;94;0;0;0;0;1;0;105;0;0;0;0;0;0;1;9
Julio;2019-07-24T05:00:00.000Z;Experiencias_Ciudadanas_Instituciones_Educativas;Experiencias_IES;Otros_Instituciones_Educativas;Institución Educativa Pedro Luis Villa;Estudiantes;Instituciones Educativas Oficiales;Cr 43 66 C 40;3;Manrique;El Pomar;111;51;60;51;0;0;0;51;51;0;0;0;0;0;0;60;0;0;0;0;0;0;1;5
Julio;2019-07-24T05:00:00.000Z;Experiencias_Ciudadanas_Empresas;Experiencias_Empresas;Taller_Formativo_Empresas_Moto_Como_Herramienta_de_Trabajo_SIN_PESV;Taller formativo Woden Colombia;Motociclistas;Empresas Comercial y/o Servicios;Cr 43 F 18 110;14;Poblado;Villa Carlota;34;4;30;0;3;1;0;1;1;2;1;0;12;17;1;0;0;29;1;0;0;0;1;0
Julio;2019-07-24T05:00:00.000Z;Incidencia_y_Gestion_Ejecucion_de_Experiencias;Incidencia;Otros_Incidencia_y_Gestion;Reunión Inicial El Mandado Express;Personal Administrativo;Empresas de Mensajería;Tv 39 B 79 A 27;11;Laureles_Estadio;Lorena;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;1;0;1;0;0;0;0;1;0
Julio;2019-07-24T05:00:00.000Z;Experiencias_Ciudadanas_Aula_Movil_Parque_Explora;Experiencias_Aula;Sensibilizacion_Aula_Movil_Empresas_con_PESV;Fundación Universidad de Antioquia;Empleados;Empresas Privadas;Cl 111 B 92 1;5;Castilla;Belalcázar;112;6;106;0;2;4;0;1;1;2;2;1;31;71;4;26;8;35;20;17;0;0;6;1
Julio;2019-07-24T05:00:00.000Z;Experiencias_Ciudadanas_Encarrete_Parque_Explora;Experiencias_Encarrete;Sensibilizacion_Encarrete_Instituciones_Educativas;Institución Educativa San Vicente de Paúl;Estudiantes;Instituciones Educativas Oficiales;Cl 79 D 70 129;7;Robledo;Córdoba;337;177;160;0;177;0;0;177;177;0;0;0;160;0;0;160;0;0;0;0;0;0;5;0
Julio;2019-07-25T05:00:00.000Z;Contacto_Ciudadano_Priorización_de_Publicos_y_Lugares;Contacto_Priorizacion;Socializacion_Proyectos_Movilidad_Conglomerado_Publico_Externo;Institucion Educativa Blanquizal;Personal Administrativo ó Gerencial;Instituciones Educativas Oficiales;Cl 58 D 93A 95;13;San_Javier;Blanquizal;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
Julio;2019-07-25T05:00:00.000Z;Contacto_Ciudadano_Priorización_de_Publicos_y_Lugares;Contacto_Priorizacion;Socializacion_Proyectos_Movilidad_Conglomerado_Publico_Externo;Institucion Educativa Tomas Carrasquilla;Personal Administrativo ó Gerencial;Instituciones Educativas Oficiales;Cr 88 68 109;7;Robledo;Bello Horizonte;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0
Julio;2019-07-25T05:00:00.000Z;Experiencias_Ciudadanas_Instituciones_Educativas;Experiencias_IES;Talleres_Formativos_Movileta_Docentes;Institución Educativa Fe y Alegria aures;Docentes y/o Instructores;Instituciones Educativas Oficiales;Cr 95 89 74;7;Robledo;Aures No. 2;27;18;9;0;0;18;0;0;0;2;3;13;0;9;0;0;0;3;2;4;0;1;0;0
Julio;2019-07-25T05:00:00.000Z;Experiencias_Ciudadanas_Empresas;Experiencias_Empresas;Taller_Formativo_Empresas_Comerciales_CON_PESV;Tigo Une Edatel;Personal Administrativo ó Gerencial;Empresas Comercial y/o Servicios;Cr 65 30 A 58;16;Belen;Fátima;145;15;130;0;6;9;0;15;15;0;0;0;32;98;0;130;0;0;0;0;0;0;1;5
Julio;2019-07-25T05:00:00.000Z;Contacto_Ciudadano_Priorización_de_Publicos_y_Lugares;Contacto_Priorizacion;Buen_Parqueo;Secretaría de Movilidad;Actores Viales en General;Sitio Buen Parqueo;Cl 42 SUR Cr 79 Cr 80;80;San_Antonio_de_Prado;San Antonio de Prado;106;18;88;1;0;16;1;16;16;0;0;2;3;78;7;34;0;11;38;5;0;0;1;7
Julio;2019-07-25T05:00:00.000Z;Contacto_Ciudadano_Priorización_de_Publicos_y_Lugares;Contacto_Priorizacion;Punto_Seguro_Peatones;Secretaría de Movilidad;Peatones;Intervención en Vía;Cr 65 66 50;11;Laureles_Estadio;Naranjal;387;229;158;7;59;158;5;196;196;0;0;0;52;95;5;137;20;0;1;0;0;0;2;5
Julio;2019-07-25T05:00:00.000Z;Experiencias_Ciudadanas_Instituciones_Educativas;Experiencias_IES;Otros_Instituciones_Educativas;Institución Educativa Stella Veléz - Charla Formativa;Peatones;Instituciones Educativas Oficiales;Cl 48 DD 100 99;13;San_Javier;Juan XXIII La Quiebra;234;132;102;58;74;0;0;132;132;0;0;0;59;"";"";102;0;0;0;0;0;0;1;1
Julio;2019-07-25T05:00:00.000Z;Experiencias_Ciudadanas_Instituciones_Educativas;Experiencias_IES;Otros_Instituciones_Educativas;Secretaría de Movilidad;Estudiantes;Instituciones Educativas Oficiales;Cr 67 93 75;5;Castilla;Castilla;226;94;132;88;0;6;0;94;94;0;0;0;0;2;0;132;0;0;0;0;0;0;1;9
Julio;2019-07-25T05:00:00.000Z;Experiencias_Ciudadanas_Encarrete_Parque_Explora;Experiencias_Encarrete;Sensibilizacion_Encarrete_Empresas_con_PESV;Deprisa S.A.S;Actores Viales en General;Empresas de Mensajería;Cr 65 B 18 46;15;Guayabal;Santa Fé;130;35;95;0;24;11;0;20;20;15;0;0;55;40;0;11;0;80;4;0;0;0;1;3
Julio;2019-07-25T05:00:00.000Z;Incidencia_y_Gestion_Ejecucion_de_Experiencias;Incidencia;Otros_Incidencia_y_Gestion;Reunión Inicial Frio Aire;Personal Administrativo;Empresas Comercial y/o Servicios;Cl 33 A 71 A 101;11;Laureles_Estadio;Laureles;1;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Julio;2019-07-25T05:00:00.000Z;Experiencias_Ciudadanas_Encarrete_Parque_Explora;Experiencias_Encarrete;Sensibilizacion_Encarrete_Empresas_con_PESV;Solla S.A;Empleados;Empresas Privadas;Cr 49 A 24 A 34;5;Castilla;Toscana;74;13;61;0;8;5;0;12;12;0;1;0;17;40;4;31;6;18;3;3;0;0;5;0
Julio;2019-07-26T05:00:00.000Z;Contacto_Ciudadano_Priorización_de_Publicos_y_Lugares;Contacto_Priorizacion;Socializacion_Proyectos_Movilidad_Conglomerado_Publico_Externo;Institucion Educativa La Piedad;Docentes y/o Instructores;Instituciones Educativas Oficiales;Cr 81 54 71;11;Laureles_Estadio;Los Colores;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
Julio;2019-07-26T05:00:00.000Z;Experiencias_Ciudadanas_Instituciones_Educativas;Experiencias_IES;Talleres_Formativos_Movileta_Docentes;Institucion Educativa Marco Fidel Suarez;Docentes y/o Instructores;Instituciones Educativas Oficiales;Cr 70 49 70;11;Laureles_Estadio;Estadio;55;46;9;0;5;41;0;0;0;4;6;33;0;9;0;0;0;2;3;4;0;1;0;0
Julio;2019-07-26T05:00:00.000Z;Incidencia_y_Gestion_Ejecucion_de_Experiencias;Incidencia;Personas_Mayores;Secretaría de Movilidad;Peatones;Espacios Sociales;Cl 47 F 89 A 117;12;La_America;Santa Lucía;19;12;7;0;0;0;12;12;12;0;0;0;0;0;7;7;0;0;0;0;0;0;1;2
Julio;2019-07-26T05:00:00.000Z;Contacto_Ciudadano_Priorización_de_Publicos_y_Lugares;Contacto_Priorizacion;Socializacion_Proyectos_Movilidad_Conglomerado_Publico_Externo;Feria de servicio Colombia No Violenta;Actores Viales en General;Espacios Sociales;Cr 65 G 14 115;15;Guayabal;Campo Amor;66;25;41;3;11;11;0;25;25;0;0;0;38;3;0;41;0;0;0;0;0;0;2;3
Julio;2019-07-26T05:00:00.000Z;Contacto_Ciudadano_Priorización_de_Publicos_y_Lugares;Contacto_Priorizacion;Rumba_Segura;Secretaría de  Movilidad;Actores Viales en General;Intervención en Vía;Cl 83 F 58 A;4;Aranjuez;Moravia;555;242;313;26;43;165;8;237;237;2;0;3;77;209;2;266;1;17;22;7;0;0;2;4
Julio;2019-07-26T05:00:00.000Z;Contacto_Ciudadano_Priorización_de_Publicos_y_Lugares;Contacto_Priorizacion;Punto_Seguro_Vehiculos;Encarrete - Centro Comercial La Central;Motociclistas;Centros Comerciales;Cl 49 21 38;9;Buenos_Aires;Alejandro Echavarría;79;32;47;1;11;20;0;1;1;20;0;11;15;27;1;1;0;40;0;6;0;0;1;3
Julio;2019-07-26T05:00:00.000Z;Contacto_Ciudadano_Priorización_de_Publicos_y_Lugares;Contacto_Priorizacion;Socializacion_Proyectos_Movilidad_Conglomerado_Publico_Externo;Secretaría de Movilidad;Actores Viales en General;Intervención en Vía;Cl 46 56 B 1;10;La_Candelaria;Guayaquil;931;473;458;16;88;330;39;465;465;6;2;0;59;335;44;386;0;24;48;0;0;0;2;9
Julio;2019-07-26T05:00:00.000Z;Incidencia_y_Gestion_Ejecucion_de_Experiencias;Incidencia;Otros_Incidencia_y_Gestion;Secretaría de Movilidad;Actores Viales en General;Entidades Gubernamentales;Cr 68 88 C;5;Castilla;Francisco Antonio Zea;90;52;38;30;9;7;6;52;52;0;0;0;1;10;0;38;0;0;0;0;0;0;1;2
Julio;2019-07-26T05:00:00.000Z;Contacto_Ciudadano_Priorización_de_Publicos_y_Lugares;Contacto_Priorizacion;Socializacion_Proyectos_Movilidad_Conglomerado_Publico_Externo;Centros de Escucha Santa Inés;Actores Viales en General;Espacios Sociales;Cl 79 A 40 10;3;Manrique;Santa Inés;92;75;17;45;12;8;10;75;75;0;0;0;3;1;0;17;0;0;0;0;0;0;1;2
Julio;2019-07-26T05:00:00.000Z;Contacto_Ciudadano_Priorización_de_Publicos_y_Lugares;Contacto_Priorizacion;Rumba_Segura;Secretaría de  Movilidad;Actores Viales en General;Intervención en Vía;Cr 43 92 1;3;Manrique;La Salle;258;147;111;7;79;55;6;83;83;39;0;25;50;53;5;44;0;38;29;0;0;0;2;4
Julio;2019-07-26T05:00:00.000Z;Experiencias_Ciudadanas_Empresas;Experiencias_Empresas;Taller_Formativo_Empresas_Comerciales_SIN_PESV;Taller Formativo Ercoenergia;Actores Viales en General;Empresas Comercial y/o Servicios;Cr 43 A 17 SUR 99;14;Poblado;Santa María de los Ángeles;27;5;22;0;4;1;0;2;2;2;1;0;14;7;1;2;1;9;10;0;0;0;1;0
Julio;2019-07-27T05:00:00.000Z;Incidencia_y_Gestion_Ejecucion_de_Experiencias;Incidencia;Otros_Incidencia_y_Gestion;DAGRD EN EL TERRITORIO, Evento de Rate y Aprendizaje, varias Secretarias.;Actores Viales en General;Actividades Comunitarias;Cr 81 32 B 1;16;Belen;Nueva Villa del Aburrá;58;29;29;3;6;19;1;29;29;0;0;0;11;12;2;29;0;0;0;0;0;0;1;5
Julio;2019-07-27T05:00:00.000Z;Contacto_Ciudadano_Priorización_de_Publicos_y_Lugares;Contacto_Priorizacion;Otros_Contacto_Ciudadano;Secretaría de Movilidad;Actores Viales en General;Espacios Sociales;Cl 47 87 B 80;12;La_America;Santa Lucía;81;54;27;30;12;12;0;54;54;0;0;0;0;4;0;27;0;0;0;0;0;0;1;5
Julio;2019-07-27T05:00:00.000Z;Contacto_Ciudadano_Priorización_de_Publicos_y_Lugares;Contacto_Priorizacion;Otros_Contacto_Ciudadano;Secretaría de Movilidad;Actores Viales en General;Intervención en Vía;Cq 3 66 B 187;11;Laureles_Estadio;San Joaquín;62;31;31;2;8;18;3;30;30;0;1;0;17;10;3;25;0;2;4;0;0;0;1;5
Julio;2019-07-27T05:00:00.000Z;Contacto_Ciudadano_Priorización_de_Publicos_y_Lugares;Contacto_Priorizacion;Socializacion_Proyectos_Movilidad_Conglomerado_Publico_Externo;Secretaría de Movilidad;Actores Viales en General;Intervención en Vía;Cr 39 50 25;10;La_Candelaria;Boston;707;307;400;10;33;212;52;299;299;0;1;7;76;262;40;302;1;25;61;11;0;0;2;14
Julio;2019-07-27T05:00:00.000Z;Experiencias_Ciudadanas_Aula_Movil_Parque_Explora;Experiencias_Aula;Sensibilizacion_Aula_Movil_Eventos_y_Acuerdos;Casa de la Cultura Los Colores;Actores Viales en General;Entidades Públicas;Cl 53 77 B 42;11;Laureles_Estadio;Los Colores;155;74;81;5;13;52;4;41;41;4;17;10;12;56;5;25;8;16;21;11;0;0;6;1
Julio;2019-07-29T05:00:00.000Z;Contacto_Ciudadano_Priorización_de_Publicos_y_Lugares;Contacto_Priorizacion;Socializacion_Proyectos_Movilidad_Conglomerado_Publico_Externo;Secretaría de Movilidad EDU Loma de los Parra;Conductores;Intervención en Vía;Cr 43 A 1;14;Poblado;El Poblado;537;155;382;0;7;139;9;4;4;19;126;6;21;334;24;2;1;76;283;20;0;0;1;5
Julio;2019-07-29T05:00:00.000Z;Experiencias_Ciudadanas_Instituciones_Educativas;Experiencias_IES;Talleres_Formativos_Movileta_Docentes;Centro Educativo Pacha Mama;Docentes y/o Instructores;Instituciones Educativas No Oficiales;Cl 31 A 107 107;16;Belen;Las Violetas;16;11;5;0;0;11;0;0;0;2;2;7;0;5;0;0;0;2;2;1;0;1;0;0
Julio;2019-07-29T05:00:00.000Z;Experiencias_Ciudadanas_Aula_Movil_Parque_Explora;Experiencias_Aula;Sensibilizacion_Aula_Movil_Empresas_con_PESV;Metro sede Administrativa;Empleados;Entidades Públicas;Cl 49 48 37;5;Castilla;Toscana;154;43;111;0;17;25;1;25;25;6;4;8;32;70;7;43;2;28;36;2;0;0;6;1
Julio;2019-07-29T05:00:00.000Z;Contacto_Ciudadano_Priorización_de_Publicos_y_Lugares;Contacto_Priorizacion;Buen_Parqueo;Secretaría de Movilidad;Conductores;Sitio Buen Parqueo;Cr 66 B 34 A 76;11;Laureles_Estadio;Bolivariana;83;23;60;0;9;14;0;13;13;6;3;1;5;54;1;18;0;8;34;0;0;0;1;6
Julio;2019-07-29T05:00:00.000Z;Contacto_Ciudadano_Priorización_de_Publicos_y_Lugares;Contacto_Priorizacion;Otros_Contacto_Ciudadano;Socialización Cambios Viales;Actores Viales en General;Intervención en Vía;Cr 29 41 1;9;Buenos_Aires;La Milagrosa;239;64;175;1;14;40;9;23;23;18;8;15;63;100;10;42;0;98;34;1;0;0;2;4
Julio;2019-07-29T05:00:00.000Z;Contacto_Ciudadano_Priorización_de_Publicos_y_Lugares;Contacto_Priorizacion;Buen_Parqueo;Secretaría de Movilidad - Gerencia del Centro;Actores Viales en General;Sitio Buen Parqueo;Cl 51 45 93;10;La_Candelaria;La Candelaria;125;48;77;0;13;32;3;35;35;6;4;3;16;55;6;36;0;24;12;5;0;0;2;5
Julio;2019-07-29T05:00:00.000Z;Contacto_Ciudadano_Priorización_de_Publicos_y_Lugares;Contacto_Priorizacion;Punto_Seguro_Peatones;Secretaría de Movilidad;Peatones;Intervención en Vía;Cl 30 A 80 1;16;Belen;Los Alpes;356;220;136;7;62;121;30;218;218;0;2;0;44;67;18;129;2;5;0;0;0;0;1;6
